aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
F100#1,0.1770155429840088,3,3808,[],0,[60 60 60]
ERJ145#5,0.22601747512817383,3,3808,[],0,[120 120 120]
ERJ145#2,0.02700519561767578,2,96,[],0,[60 60]
ERJ135#1,0.05800771713256836,2,255,[],0,[60 60]
CRJ100#3,0.13401174545288086,3,2464,[],0,[60 60 60]
BAE300#1,0.043003082275390625,1,11,[],0,[60]
BAE200#3,0.02700519561767578,3,320,[],0,[60 60  0]
BAE200#2,0.037001609802246094,2,208,[],0,[60 60]
A320#15,0.05600404739379883,3,2100,[],0,[60 60  0]
A319#9,0.04699969291687012,3,1638,[],0,[60  0  0]
A319#7,0.38703131675720215,5,8800,[],0,[0 0 0 0 0]
A319#6,0.3730311393737793,4,9438,[],0,[120 120 120  60]
A319#4,0.2590165138244629,4,4620,[],0,[120 120 120 120]
A319#14,0.08801436424255371,3,1950,[],0,[60 60 60]
A319#12,0.0700070858001709,3,2184,[],0,[120   0   0]
A318#6,0.2950286865234375,4,8250,[],0,[60  0  0  0]
A318#1,0.06499862670898438,3,1440,[],0,[120 120   0]
A319#17,0.6570544242858887,4,17160,[],0,[120  60  60  60]
A319#18,0.5870537757873535,4,16800,[],0,[60 60  0  0]
A319#5,0.48104357719421387,4,14400,[],0,[120 120 120 120]
A321#1,0.7120566368103027,5,16016,[],0,[  0 120 120 120 120]
A321#4,0.6500575542449951,4,16016,[],0,[120 180 120 120]
CRJ100#1,0.5190446376800537,5,14400,[],0,[ 0 60  0  0  0]
ERJ145#1,0.03200483322143555,2,80,[],0,[120 120]
ERJ145#3,0.6880581378936768,4,16731,[],0,[ 60 120  60  60]
A319#11,1.645141839981079,5,22022,[],0,[  0 540 600   0   0]
A320#17,2.2911970615386963,5,25200,[],0,[  0 180 180 180 180]
A320#19,0.8270692825317383,4,18900,[],0,[ 60  60 120 120]
A320#20,1.0690903663635254,4,17424,[],0,[60  0  0  0]
A320#22,0.8550717830657959,4,15795,[],0,[ 60 180 120 120]
A321#3,0.7340612411499023,4,11583,[],0,[120 120 180 180]
BAE300#3,1.249108076095581,4,22308,[],0,[120  60  60  60]
F100#5,0.09000825881958008,4,1560,[],0,[0 0 0 0]
A319#7,0.5540425777435303,5,8000,[],0,[ 0 60 60  0  0]
A320#14,8.08768892288208,5,39600,[],0,[ 60 120 120 120  -1]
A320#15,1.181103229522705,4,31500,[],0,[120 120 120   0]
BAE300#1,0.07200884819030762,2,108,[],0,[180 180]
A320#1,1.1521000862121582,4,18720,[],0,[120   0   0   0]
A318#5,6.2145280838012695,5,101376,[],0,[240 300 300 360 360]
A320#11,7.6086509227752686,5,133848,[],0,[240 300 240 240 240]
A320#5,9.52480936050415,5,138240,[],0,[540 540   0   0 300]
A319#3,6.245530128479004,6,138240,[],0,[ 0 60 60 60 60 60]
A319#8,4.02634072303772,5,129024,[],0,[120 120 120 120 120]
A320#12,4.9054155349731445,5,142296,[],0,[120 120 120 120 180]
A320#7,7.114603281021118,6,135520,[],0,[  0 240 240 240 300 360]
A321#5,8.660754919052124,5,117612,[],0,[300 300 300 300 300]
A319#11,2.3632006645202637,5,15972,[],0,[  0 540 600   0   0]
A320#10,4.180357217788696,5,113256,[],0,[ 60 120 120 180 300]
A320#3,0.9540820121765137,4,19305,[],0,[ 60 120 120 120]
A320#4,7.121606349945068,6,178464,[],0,[ 0 60 60 60 60 60]
A321#3,3.0282580852508545,5,136890,[],0,[180 240 240 180 180]
A318#6,3.8333263397216797,5,78000,[],0,[180 180 180 180 180]
A321#2,7.369624376296997,5,137280,[],0,[120 120 120 240 240]
A318#4,23.669012546539307,6,415800,[],0,[120 180 240 240 360 360]
A319#2,92.76287603378296,6,1898208,[],0,[180 180 180 180 180 180]
A320#6,118.5090606212616,6,2822400,[],0,[180 180 180 180 180 180]
