aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
A321#107,0.020996809005737305,2,6,[],0,[240   0]
A320#205,0.5200464725494385,6,4200,[],0,[660   0   0   0   0   0]
A320#151,0.23801898956298828,5,3528,[],0,[540 120   0   0   0]
A319#42,1.2220940589904785,7,8640,[],0,[180  -1  -1   0   0   0   0]
A319#40,0.98409104347229,12,4320,[],0,[-1 -1 -1  0  0  0  0  0 -1 -1 -1 -1]
A319#248,0.6840596199035645,6,7560,[],0,[600  60  60   0   0   0]
A319#246,0.2900216579437256,5,1080,[],0,[180 180 120 240  -1]
A319#203,0.35903358459472656,6,5670,[],0,[ 60 120   0   0   0   0]
A319#101,0.08300614356994629,1,1,[],0,[-1]
A318#34,2.1291825771331787,8,6480,[],0,[300  -1  -1   0   0   0   0   0]
A318#247,0.18501877784729004,5,1890,[],0,[60  0  0  0  0]
A318#32,2.4562089443206787,8,17640,[],0,[60 -1 -1  0  0  0  0  0]
A320#112,5.813494682312012,8,15360,[],0,[480  -1  -1 240 660 720 360 360]
A320#204,0.7420628070831299,8,6720,[],0,[-1 -1  0  0  0  0  0  0]
A320#223,0.5720512866973877,7,15552,[],0,[120 600 180   0   0   0   0]
A320#56,0.33302783966064453,11,6912,[],0,[-1 -1  0  0 -1 -1  0  0  0  0  0]
A320#91,0.8440713882446289,7,4536,[],0,[420  -1  -1 780 300 360 180]
A320#98,0.2030167579650879,9,504,[],0,[ -1  -1  -1  -1 660 120   0   0   0]
A321#131,0.36403536796569824,8,1848,[],0,[ -1  -1  -1 600 300 300 300   0]
A319#211,3.4662933349609375,9,20160,[],0,[-1  0  0  0  0 -1 -1 -1  0]
A319#249,1.4801256656646729,10,10240,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0]
A320#250,1.1931090354919434,9,18144,[],0,[ -1  -1   0   0 720  60   0   0   0]
A320#50,1.718144416809082,11,13824,[],0,[ -1  -1   0 840  -1  -1   0   0   0   0   0]
A320#54,1.144096851348877,10,10800,[],0,[-1 -1 -1  0  0  0  0  0  0  0]
A320#55,1.8421576023101807,10,5760,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0]
A320#7,2.1491832733154297,12,7056,[],0,[-1 -1 -1 -1 -1 -1 -1  0  0  0  0  0]
A318#35,0.8030710220336914,12,6912,[],0,[-1 -1 -1  0  0  0  0  0  0  0  0  0]
A319#126,3.5993072986602783,11,7680,[],0,[-1 -1 -1 -1 -1 -1  0 -1 -1  0  0]
A319#127,4.095347881317139,9,15360,[],0,[-1 -1 -1 -1 -1 -1 -1 -1 -1]
A319#190,3.635308265686035,10,16128,[],0,[ -1  -1  -1  -1 660 120 180 180 120  -1]
A319#37,4.517384052276611,11,30000,[],0,[ -1  -1  -1 180 720 720 240 240  -1  -1   0]
A319#38,1.5031285285949707,13,12288,[],0,[-1 -1 -1 -1 -1 -1 -1  0  0  0  0  0  0]
A319#39,3.201272487640381,12,9216,[],0,[-1 -1 -1 -1 -1 -1 60 60 -1 -1  0  0]
A319#4,0.9080851078033447,12,5400,[],0,[-1 -1 -1 -1 -1 -1 60 60  0  0  0 -1]
A319#41,0.14801597595214844,11,648,[],0,[ -1  -1  -1  -1  -1 780 780   0   0   0   0]
A319#5,6.863602161407471,12,24192,[],0,[ -1  -1  -1  -1  -1 840 840  -1  -1   0   0   0]
A320#102,1.0160889625549316,9,9216,[],0,[-1 -1 -1  0  0  0  0  0  0]
A320#105,1.520129919052124,10,33600,[],0,[-1 -1  0  0  0  0  0  0  0  0]
A320#139,2.1671841144561768,11,5760,[],0,[ -1  -1  -1  -1  -1 600 120  -1  -1   0   0]
A320#161,2.292196750640869,11,5400,[],0,[-1 -1 -1 -1 -1 -1 -1 -1  0  0  0]
A320#168,0.7180609703063965,10,11550,[],0,[-1 -1 -1 -1 60 60  0  0  0  0]
A320#46,2.211186647415161,11,21504,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0  0]
A320#47,0.1680152416229248,11,864,[],0,[ -1  -1  -1  -1 780 360  -1  -1   0   0   0]
A320#48,3.109264612197876,12,23040,[],0,[ -1   0   0   0   0 660  -1  -1   0   0   0   0]
A320#51,7.106603622436523,10,21600,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0]
A320#53,1.844156265258789,12,4320,[],0,[-1 -1 -1 -1 -1 -1  0  0 -1 -1  0  0]
A320#57,3.6693122386932373,11,15552,[],0,[-1 -1 -1 -1 -1 -1  0  0  0  0  0]
A320#60,0.3130226135253906,11,3072,[],0,[-1 -1 -1 -1 60  0  0  0  0  0  0]
A320#8,0.6500570774078369,10,1728,[],0,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
A321#63,2.4162063598632812,11,15552,[],0,[-1 -1 -1 -1 -1  0  0  0  0  0  0]
A321#80,10.88792610168457,11,38016,[],0,[-1 -1 -1 -1 -1 -1 -1 -1  0  0  0]
A319#100,3.4212913513183594,12,11520,[],0,[ -1  -1  -1  -1  -1 660 300  -1  -1   0   0   0]
A319#44,1.3421154022216797,10,10368,[],0,[ -1   0   0 600  -1  -1   0   0   0   0]
