aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
CRJ700#67,0.5430495738983154,5,7488,[],0,[60  0  0  0  0]
A340#73,0.015994787216186523,4,20,[],0,[-1  0  0 -1]
A340#16,0.05500936508178711,4,108,[],0,[900 900 540  -1]
A330#15,0.028003454208374023,2,2,[],0,[60 -1]
A320#105,1.362117052078247,6,4800,[],0,[180 660 120   0   0   0]
A319#5,0.08700776100158691,5,1372,[],0,[60 60  0  0  0]
A319#101,1.0910935401916504,6,2376,[],0,[-1 -1 -1 -1 -1 -1]
A318#34,0.45904040336608887,6,720,[],0,[120 780  -1  -1   0   0]
A318#247,0.07900738716125488,3,54,[],0,[60  0  0]
A318#125,0.4480314254760742,6,1728,[],0,[-1 -1  0  0  0  0]
A318#33,5.025427579879761,7,11520,[],0,[  0 180  -1  -1   0   0   0]
A319#163,3.1902694702148438,8,17280,[],0,[60 -1 -1  0  0  0  0  0]
A319#38,4.345368385314941,8,17280,[],0,[60 -1 -1  0  0  0  0  0]
A320#129,0.5430526733398438,7,2160,[],0,[120   0   0   0   0   0   0]
A320#138,4.906415939331055,8,18144,[],0,[-1 -1  0 -1 -1  0  0  0]
A320#153,3.941340446472168,8,19440,[],0,[780  -1  -1   0   0   0   0   0]
A320#48,0.8430798053741455,8,3840,[],0,[-1 -1 -1 -1 -1 -1 -1 -1]
A320#50,0.13101410865783691,8,1152,[],0,[ -1  -1   0   0   0   0   0 120]
A320#53,0.1070094108581543,8,1152,[],0,[-1 -1  0  0  0  0  0  0]
A320#56,0.30202531814575195,8,1296,[],0,[840  -1  -1   0   0   0   0   0]
A320#59,0.13601112365722656,7,192,[],0,[-1 -1 -1 -1 -1 -1 -1]
A321#106,1.3511149883270264,7,5184,[],0,[780  -1  -1  -1  -1   0   0]
CRJ100#225,0.5100421905517578,7,4320,[],0,[-1 -1  0  0  0  0  0]
ERJ135#159,0.3930351734161377,6,2880,[],0,[60  0  0  0  0  0]
ERJ135#18,0.8340723514556885,7,7200,[],0,[-1 -1  0  0  0  0  0]
ERJ135#29,2.593224287033081,7,14080,[],0,[780 840 360 360  -1  -1   0]
ERJ135#93,2.9592533111572266,7,9000,[],0,[780  -1  -1   0   0   0   0]
A319#126,1.9791712760925293,8,27000,[],0,[-1 -1  0  0  0  0  0  0]
A319#127,1.9571669101715088,9,25920,[],0,[-1 -1  0  0  0  0  0  0 60]
A319#45,1.335111141204834,7,4320,[],0,[780  -1  -1  -1  -1   0   0]
A320#120,1.4441251754760742,8,3456,[],0,[900  -1  -1  -1  -1  -1  -1  -1]
A320#168,3.0792624950408936,6,18480,[],0,[120 600  60   0   0   0]
A320#6,1.3221144676208496,8,6144,[],0,[ -1 240  -1  -1   0   0   0  -1]
A321#197,2.043175220489502,8,6480,[],0,[60 -1 -1  0  0  0  0  0]
CRJ100#226,1.360116720199585,8,6480,[],0,[ -1  -1  -1 540 540  -1   0   0]
ERJ135#178,0.7760648727416992,8,5760,[],0,[-1 -1  0  0  0  0  0  0]
F100#87,2.5942211151123047,8,14400,[],0,[60 60  0  0  0  0  0  0]
A320#139,2.0861759185791016,8,23328,[],0,[-1 -1  0  0  0  0  0  0]
A320#152,1.010087251663208,7,17280,[],0,[120   0   0   0   0   0   0]
A320#49,2.1441824436187744,8,25920,[],0,[-1 -1  0  0  0  0  0  0]
CRJ100#214,1.7231485843658447,10,28800,[],0,[-1 -1  0  0  0  0  0  0  0  0]
A321#114,4.980424165725708,9,54000,[],0,[ 0 -1 -1  0  0  0  0  0  0]
A320#91,0.14701175689697266,5,128,[],0,[-1 -1 -1 -1 -1]
A320#141,12.471060037612915,10,80640,[],0,[720  -1  -1   0   0   0   0   0   0   0]
A321#147,10.132859945297241,8,64512,[],0,[-1 -1  0  0  0  0  0  0]
A321#200,14.566238403320312,9,53760,[],0,[-1 -1 -1 -1 -1 -1 -1 -1  0]
A318#17,8.898756504058838,9,105840,[],0,[-1 -1  0  0  0  0  0  0  0]
A320#235,15.020275354385376,8,110592,[],0,[-1 -1  0  0  0  0  0  0]
A318#24,53.54454493522644,9,215040,[],0,[660  -1  -1  60 120  60  60  60  -1]
A319#149,40.36242651939392,9,129600,[],0,[120 720 780 360  -1  -1  60  60  60]
A319#187,44.29175901412964,10,204800,[],0,[780  -1  -1  -1  -1   0   0   0   0   0]
A319#188,26.91828441619873,10,165888,[],0,[720  -1  -1   0   0   0   0   0   0   0]
A319#20,2.3151955604553223,10,15360,[],0,[ 60  -1  -1   0   0   0 180 180  -1  -1]
A320#128,9.219784259796143,9,60480,[],0,[-1 -1 60  0  0  0  0  0  0]
A320#222,42.558610916137695,11,103680,[],0,[  0 840  -1  -1  -1  -1   0   0   0   0   0]
A318#183,4.080350399017334,9,34560,[],0,[-1 -1  0  0  0  0  0  0  0]
A320#192,53.03850030899048,12,622080,[],0,[ 0  0 -1 -1  0  0  0  0  0  0 60 60]
