aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
ERJ145#4,2.7932419776916504,8,175500,[],0,[  0  -1  -1 780  60  60   0   0]
A318#2,4.057394981384277,8,207360,[],0,[120  -1   0 660  60  60  60   0]
