MAX_DELAY, STEP_DOMAIN, START_UPPER, STEP_UPPER, START_LOWER, STEP_LOWER, day,dataInstance,checkAircraftBreakdownPeriod,checkAircraftCapacity,checkAircraftCreation,checkAircraftSwap,checkAirportCapacity,checkCancellationofCreatedRotation,checkFixedFlights,checkFlight,checkItinerary,checkPassengerReac,checkRotation,costs, deltaTime, totalDelay, totalCancel
960,60,3E+12,1E+11,40000,10000,20210306_0200,B_01,0,0,0,0,0,0,0,38175,29954,13652,0," £31,947,866.90 ",718.3495879,51900,176
960,60,3000000000000.0,100000000000.0,40000.0,10000.0,20210306_0311,B_02,0,0,0,0,148,0,44,37983,25207,14554,0,37009811.95,1589.837126493454,43980,220
960,60,3000000000000.0,100000000000.0,40000.0,10000.0,20210306_0332,B_03,0,0,0,0,0,0,0,37935,28764,13742,0,32446058.8,871.3036689758301,48780,180
1260,60,3000000000000.0,100000000000.0,40000.0,10000.0,20210306_0349,B_03,0,0,0,0,74,0,0,37888,29279,14556,57,32522562.4,640.8539621829987,58440,182
1020,60,3000000000000.0,100000000000.0,40000.0,10000.0,20210306_1601,B_03,0,0,0,0,0,0,0,38079,27996,14237,0,32104099.45,724.2381415367126,51300,178
