1GE004,1.812,0.494,0.176,1.502
1GE007,2.487,0.66,0.215,1.975
1GE010,2.145,0.615,0.15,1.795
1GE011,2.145,0.615,0.15,1.795
1GE012,2.254,0.641,0.15,1.885
1GE013,2.254,0.641,0.15,1.885
1GE034,0.407,0.119,0.0496,0.3343
1GE035,0.407,0.119,0.0496,0.3343
1IA001,1.113,0.334,0.124,0.924
1IA002,1.053,0.319,0.128,0.88
1IA003,1.053,0.319,0.128,0.88
1IA004,1.209,0.353,0.134,0.996
1IA005,1.331,0.377,0.138,1.077
1KK002,1.75,0.55,0.22,1.33
1KK003,2.4,0.58,0.21,1.6
1KK004,2.05,0.6,0.235,1.7
1KK005,2.05,0.6,0.235,1.7
1PW001,1.174,0.346,0.135,0.932
1PW003,1.254,0.389,0.128,1.032
1PW007,1.04,0.2977,0.1323,0.8453
1PW008,1.121,0.3339,0.1455,0.9136
1PW010,1.178,0.3402,0.1477,0.945
1PW011,1.115,0.312,0.1372,0.8955
1PW013,1.245,0.354,0.1474,0.997
1PW014,1.173,0.3304,0.1401,0.9344
1PW015,1.365,0.3574,0.1477,1.047
1PW016,1.417,0.3755,0.155,1.103
1PW017,1.191,0.3592,0.1303,0.9828
1PW018,1.32,0.3833,0.1372,1.078
1PW023,2.161,0.624,0.232,1.779
1PW024,2.315,0.679,0.238,1.902
1PW025,2.442,0.6804,0.237,2
1PW026,2.055,0.6593,0.2054,1.678
1PW027,2.118,0.6529,0.221,1.724
1PW028,2.218,0.64,0.2205,1.829
1PW029,2.429,0.659,0.2239,1.88
1PW030,2.512,0.7227,0.2454,1.999
1PW032,2.315,0.679,0.238,1.902
1PW033,2.442,0.6804,0.237,2
1PW034,2.442,0.6804,0.237,2
1PW035,0.148,0.051,0.023,0.124
1PW036,0.1697,0.059,0.0261,0.143
1PW037,0.2054,0.066,0.0296,0.1727
1PW038,0.2151,0.0678,0.0276,0.1802
1PW042,2.342,0.658,0.208,1.93
1PW045,2.129,0.613,0.203,1.783
1PW047,2.342,0.658,0.208,1.93
1PW048,2.481,0.682,0.211,2.004
1PW051,2.449,0.647,0.188,1.981
1PW052,2.647,0.703,0.213,2.085
1PW053,2.027,0.579,0.193,1.683
