EGLC,636.7592363,761.6512846,210.276275,228.8684269
EGLF,1140,1140,420,420
EGLL,1286.224495,1293.594352,642.6703368,558.6723124
EGMC,1140,1140,420,420
EGMH,1140,1140,420,420
EGNH,593.592233,675.4774973,286.5671642,241.7920354
EGNJ,599.2,530.5263158,230.9915014,242.4753695
EGNM,686.1514683,633.3732719,255,257.3157451
EGNR,1140,1140,420,420
EGNS,484.19518,526.4437797,248.1558596,226.9964789
EGNT,676.5876951,643.1334355,260.447549,265.6575829
EGNV,610.4819277,649.3112245,299.527972,259.9914347
EGNX,643.7878788,665.0307235,261.2440646,267.7901875
EGPD,638.2216668,659.1002249,271.8474727,279.14842
EGPE,562.3857868,574.6003954,227.4111675,272.157969
EGPF,659.6907093,680.0783892,268.2078235,290.5276128
EGPH,720.9214568,703.1846272,295.2042161,297.3772861
EGPK,777.5815739,594.0780142,363.5262689,254.7003525
EGPN,1140,422.6898445,420,219.3577982
EGSC,1140,1140,420,420
EGSH,593.0943847,612.5185185,261.6855754,239.2001975
EGSS,801.5484195,768.0809753,369.9921014,372.8737027
EGTE,568.7129237,582.573913,228.6066003,222.6107158
EGTG,1140,1140,420,420
EGVN,1140,1140,420,420
EGWU,1140,1140,420,420
EHAM,792.6654454,809.2284905,539.4472499,503.3726187
EHBK,491.503006,532.4193548,255.6574511,294.0319716
EHEH,504.5199409,555.9720605,332.6973027,347.9906542
EHGG,324.6203554,311.4018692,279.2670157,271.1574557
EHRD,471.5384615,479.8724591,271.9259586,303.2877803
EHTW,422.295082,1140,283.7037037,420
EICK,459.0518684,489.4747242,295.8013544,304.5745204
EICM,1140,370.7853403,420,299.737303
EIDL,1140,265.1827243,420,299.2666667
EIDW,854.1072961,931.6242005,382.813803,401.4029192
EIKN,481.0325048,570.8402725,331.7712177,329.1533181
EIKY,1140,388.7437186,420,282.8643216
EINN,761.2361624,662.3334954,343.7393768,317.0880472
EISG,1140,310.840046,420,300
EIWF,1140,319.0942928,420,300
EKAH,269.3680828,366.3065408,207.4758324,301.3009198
EKBI,514.3190661,603.3591521,234.8326292,227.7742426
EKCH,699.3427518,735.69392,344.448955,344.7721622
EKEB,1140,413.6440678,420,269.2193309
EKKA,1140,1140,420,420
EKOD,1140,1140,420,420
EKRN,390.6580645,376.1538462,327.6501305,254.7169811
EKSB,1140,1140,420,420
EKVG,325.7142857,1140,171.9047619,420
EKYT,356.5865012,423.0019493,235.4262168,276.5801253
ELLX,548.1763793,583.532476,252.7786361,249.2177222
ENAL,429.3000727,416.6028708,147.1834377,162.6609442
ENAN,167.2147651,154.3031123,159.1326531,142.4848076
ENAT,265.7583965,242.0796333,163.9359647,155.5549116
ENBL,183.8365897,149.1945205,118.6714542,117.1491713
ENBN,147.9804438,176.783692,120.3632236,122.7912254
