MAX_DELAY, STEP_DOMAIN, START_UPPER, STEP_UPPER, START_LOWER, STEP_LOWER, day,dataInstance,checkAircraftBreakdownPeriod,checkAircraftCapacity,checkAircraftCreation,checkAircraftSwap,checkAirportCapacity,checkCancellationofCreatedRotation,checkFixedFlights,checkFlight,checkItinerary,checkPassengerReac,checkRotation,costs, deltaTime, totalDelay, totalCancel, newFlight, taxiFlight
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1400,A03_6088570,0,0,0,0,0,0,0,0,5223,88,0,546369.2,54.18071318,3300,3,3,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1400,XA01_DATA,0,0,0,0,0,0,0,0,5223,178,0,1046238.95,54.76929545,3300,8,3,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1400,A08_6088590,0,0,0,0,0,0,0,0,5650,90,0,778447.45,54.32126427,3300,3,3,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1400,XA03_DATA,0,0,0,0,0,0,0,0,5650,403,0,1499075.15,55.54486656,3300,8,3,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1402,A04_6088570,0,0,0,0,0,0,0,0,10963,354,0,449950.65,152.2127814,24180,1,0,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1402,A09_6088590,0,0,0,0,0,0,0,0,9365,265,0,517139.8,152.9178345,24180,1,0,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1409,B_07,0,0,0,0,0,0,44,0,13696,6101,0,23989632.2,545.7024379,17580,114,28,1
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1409,B_02,0,0,0,0,0,0,44,0,14973,6451,0,19988418.95,549.8517411,17580,114,28,1
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1406,X02_DATA,0,0,0,0,0,0,0,0,1102,1190,0,1961194.5,374.9580774,0,9,8,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1406,X04_DATA,0,0,0,0,0,0,0,0,513,901,0,2168904.95,369.6515074,240,6,2,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1409,B_06,0,0,0,0,0,0,0,0,13618,5474,0,20592662.65,581.4557211,15780,99,0,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1410,B_01,0,0,0,0,0,0,0,0,14133,5645,0,17003379.9,650.8105023,15780,99,0,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1408,X03_DATA,0,0,0,0,0,0,0,0,20305,776,0,2696107.9,518.7851644,56580,4,4,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1412,B_08,0,0,0,0,0,0,0,0,13958,5608,0,20313346.15,734.6970043,16800,97,0,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1407,X01_DATA,0,0,0,0,0,0,0,0,15967,1190,0,2554408.5,427.9234047,42240,9,8,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1412,XB02_DATA,0,0,0,0,0,0,0,0,12773,25223,0,75793417.6,763.7489033,30060,183,4,32
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1413,XB03_DATA,0,0,0,0,0,0,0,0,15488,7138,0,24541802.45,797.3148127,19200,108,3,0
901,60,3.00E+12,1.00E+11,40000,10000,20210320_1413,B_03,0,0,0,0,0,0,0,0,14813,5555,0,16875549.05,827.0479317,16800,97,0,0
